datetime,open,close,high,low,volume,money,open_interest
2021-05-31,994.609,1045.045,1060.1,989.771,598586.0,64040461000.0,863419.0
2021-06-01,1054.094,1104.572,1105.838,1033.97,602666.0,67374120450.0,877313.0
2021-06-02,1104.121,1105.938,1128.151,1093.316,501467.0,57590669550.0,877883.0
2021-06-03,1106.068,1131.735,1157.69,1097.116,586963.0,68557690900.0,907430.0
2021-06-04,1125.936,1108.923,1137.339,1089.134,617481.0,71063231750.0,904355.0
2021-06-07,1114.733,1059.289,1134.756,1056.63,607706.0,69296255600.0,895102.0
2021-06-08,1059.586,1081.551,1083.585,1045.054,509844.0,56371324100.0,897377.0
2021-06-09,1083.561,1104.43,1120.123,1080.443,464261.0,53265739550.0,911205.0
2021-06-10,1103.475,1107.409,1124.658,1093.414,420754.0,48529735750.0,921946.0
2021-06-11,1113.241,1170.493,1171.319,1112.085,515304.0,61427199900.0,933838.0
2021-06-15,1170.285,1150.434,1172.227,1112.921,421386.0,50289039200.0,936071.0
2021-06-16,1143.796,1123.202,1155.732,1115.607,416231.0,49427088300.0,938362.0
2021-06-17,1123.975,1144.708,1147.657,1101.782,501648.0,59516866500.0,966562.0
2021-06-18,1139.832,1125.057,1169.513,1123.27,595995.0,71758272700.0,969313.0
2021-06-21,1129.042,1046.329,1135.697,1044.804,676952.0,77743271900.0,977289.0
2021-06-22,1046.508,1060.069,1070.329,1034.094,570845.0,62970186450.0,973062.0
2021-06-23,1060.295,1088.052,1096.002,1049.381,537538.0,60477606500.0,981974.0
2021-06-24,1091.307,1076.564,1105.462,1055.752,499854.0,57252190450.0,977649.0
2021-06-25,1070.628,1096.861,1101.041,1060.06,476161.0,54182121050.0,991117.0
2021-06-28,1096.984,1107.378,1116.139,1070.852,517952.0,59669912800.0,1004439.0
2021-06-29,1109.351,1066.086,1114.199,1058.929,512818.0,58504573400.0,1017434.0
2021-06-30,1062.43,1074.604,1081.324,1046.201,530650.0,59374181850.0,1030349.0
2021-07-01,1075.434,1071.819,1096.383,1063.616,459778.0,52351492150.0,1044396.0
2021-07-02,1071.676,1085.679,1092.108,1049.08,583400.0,65414063550.0,1057064.0
2021-07-05,1081.963,1123.974,1125.748,1075.72,500707.0,57976994500.0,1090021.0
2021-07-06,1126.197,1131.659,1141.056,1119.898,394210.0,46646977750.0,1089155.0
2021-07-07,1129.816,1148.055,1151.346,1108.928,540469.0,64016817850.0,1104875.0
2021-07-08,1151.533,1102.154,1156.842,1093.234,677886.0,79482817250.0,1083655.0
2021-07-09,1092.8,1076.673,1099.686,1066.029,594976.0,67692821250.0,1080440.0
2021-07-12,1085.267,1097.926,1118.558,1076.041,564355.0,65148635600.0,1083217.0
2021-07-13,1095.117,1127.966,1131.983,1091.444,481119.0,56598891250.0,1081434.0
2021-07-14,1119.367,1124.178,1127.259,1106.868,407392.0,47823780500.0,1059003.0
2021-07-15,1116.227,1141.379,1145.829,1104.487,504500.0,59404806000.0,1098065.0
2021-07-16,1142.017,1161.9,1181.706,1135.472,584179.0,70008875200.0,1095213.0
2021-07-19,1158.408,1144.285,1169.567,1129.835,459784.0,54872155600.0,1061989.0
2021-07-20,1129.732,1144.035,1151.08,1117.251,414619.0,48949237250.0,1048006.0
2021-07-21,1142.577,1090.347,1151.597,1089.195,569407.0,66345927950.0,1055163.0
2021-07-22,1088.107,1054.602,1093.863,1033.694,704908.0,78152187850.0,1092130.0
2021-07-23,1053.418,1046.53,1057.401,1036.059,439682.0,47739124200.0,1076841.0
2021-07-26,1045.031,1045.319,1070.478,1038.645,493378.0,54371293550.0,1069484.0
2021-07-27,1048.113,1019.182,1063.86,1013.363,538572.0,58560966650.0,1073172.0
2021-07-28,1017.203,1034.338,1058.229,1005.543,480460.0,51903785750.0,1047583.0
2021-07-29,1033.246,1007.59,1038.954,989.174,591753.0,62165263900.0,1054209.0
2021-07-30,1007.124,940.688,1012.944,921.338,821882.0,82322172450.0,1116736.0
2021-08-02,945.209,968.985,974.984,937.621,724269.0,71567038100.0,1072033.0
2021-08-03,965.341,968.49,981.245,952.275,510559.0,50977033100.0,1048920.0
2021-08-04,958.171,961.902,973.96,936.093,625571.0,61261221250.0,1052709.0
2021-08-05,953.443,901.903,970.393,887.975,1008007.0,94491525250.0,1087417.0
2021-08-06,895.536,899.192,911.535,880.216,593264.0,54377784900.0,1085282.0
2021-08-09,896.906,855.329,900.743,846.417,758304.0,66731731050.0,1128969.0
2021-08-10,847.123,852.649,855.742,825.346,704548.0,60032023500.0,1135254.0
